text
行宫,元稹〔唐代〕,寥落古行宫，宫花寂寞红。白头宫女在，闲坐说玄宗。
登鹳雀楼,王之涣〔唐代〕,白日依山尽，黄河入海流。欲穷千里目，更上一层楼。
新嫁娘词,王建〔唐代〕,三日入厨下，洗手作羹汤。未谙姑食性，先遣小姑尝。
相思,王维〔唐代〕,红豆生南国，春来发几枝。愿君多采撷，此物最相思。
杂诗三首·其二,王维〔唐代〕,君自故乡来，应知故乡事。来日绮窗前，寒梅著花未？
鹿柴,王维〔唐代〕,空山不见人，但闻人语响。返景入深林，复照青苔上。
竹里馆,王维〔唐代〕,独坐幽篁里，弹琴复长啸。深林人不知，明月来相照。
送别,王维〔唐代〕,山中相送罢，日暮掩柴扉。春草明年绿，王孙归不归？(明年 一作：年年)
问刘十九,白居易〔唐代〕,绿蚁新醅酒，红泥小火炉。晚来天欲雪，能饮一杯无？
哥舒歌,西鄙人〔唐代〕,北斗七星高，哥舒夜带刀。至今窥牧马，不敢过临洮。
静夜思,李白〔唐代〕,床前明月光，疑是地上霜。举头望明月，低头思故乡。
怨情,李白〔唐代〕,美人卷珠帘，深坐蹙蛾眉。(蹙 一作：颦)但见泪痕湿，不知心恨谁。
登乐游原,李商隐〔唐代〕,向晚意不适，驱车登古原。夕阳无限好，只是近黄昏。
听筝,李端〔唐代〕,鸣筝金粟柱，素手玉房前。欲得周郎顾，时时误拂弦。
渡汉江,宋之问〔唐代〕,岭外音书断，经冬复历春。近乡情更怯，不敢问来人。
